Date,DateTotal,HomicideTotal,ArsonTotal,DeceptivePracticeTotal,BurglaryTotal,DayTotal,NightTotal,Temp_Avg(oF),Temp_Max(oF),Temp_Min(oF),Precip(in),Snow(in),Wind(mph),Fog,HeavyFog,Thunder,Sleet,Hail,Glaze,Haze,Snow,Tornado,HighWinds,Sunny,DayLength,DayLengthPercent,WeatherCondition
2015-01-01,1184,0,0,199,16,251,727,20,32,14,0,0,14.54,0,0,0,0,0,0,0,0,0,0,1,9:11:52,0.38,1
2015-01-02,673,0,1,52,33,235,385,26,34,15,0,0,4.7,0,0,0,0,0,0,0,0,0,0,1,9:12:39,0.38,1
2015-01-03,648,1,0,27,21,251,365,31,34,29,0.57,0.4,5.59,1,0,0,1,0,1,0,0,0,0,0,9:13:30,0.38,0
2015-01-04,513,0,2,19,16,178,316,29,33,2,0.13,2.2,15.88,1,0,0,0,0,0,1,1,0,0,0,9:14:25,0.39,0
2015-01-05,521,1,0,40,38,214,267,2,6,-3,0.15,1.8,10.29,1,0,0,0,0,0,1,0,0,0,0,9:15:24,0.39,0
2015-01-06,501,2,2,41,26,201,258,5,10,-5,0.01,0.2,13.87,1,0,0,0,0,0,1,1,0,0,0,9:16:27,0.39,0
2015-01-07,473,0,0,39,24,192,242,3,6,-6,0,0,17.45,0,0,0,0,0,0,1,0,0,0,0,9:17:34,0.39,1
2015-01-08,447,1,0,27,22,206,213,-2,18,-8,0.06,3,17.67,0,0,0,0,0,0,1,1,0,0,0,9:18:44,0.39,0
2015-01-09,588,1,0,34,34,264,290,8,11,0,0,0,16.55,0,0,0,0,0,0,1,1,0,0,0,9:19:58,0.39,0
2015-01-10,645,1,1,29,28,258,357,5,24,-2,0,0,11.63,0,0,0,0,0,0,0,0,0,0,1,9:21:15,0.39,1
2015-01-11,648,0,0,22,30,249,376,26,32,22,0.19,2.6,8.28,1,0,0,0,0,0,0,0,0,0,0,9:22:36,0.39,1
2015-01-12,607,0,1,37,36,273,296,23,28,15,0,0.4,12.75,1,0,0,0,0,0,1,0,0,0,0,9:24:01,0.39,0
2015-01-13,611,2,0,39,36,294,278,17,19,3,0,0.2,7.61,0,0,0,0,0,0,0,0,0,0,1,9:25:28,0.39,1
2015-01-14,675,1,1,36,54,292,346,11,19,1,0,0,6.49,1,0,0,0,0,0,0,0,0,0,0,9:26:59,0.39,1
